ProbeID,1Uex,1Dex,3Uex,3Dex,7Uex,7Dex,1Uin,1Din,3Uin,3Din,7Uin,7Din
A_70_P001011,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001016,0,0,0,0,0,1,0,0,0,1,0,1
A_70_P001021,0,0,1,0,0,0,0,0,0,0,0,0
A_70_P001026,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001031,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001036,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001041,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001046,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001051,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001056,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001061,0,0,0,0,0,0,1,0,1,0,0,0
A_70_P001066,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001071,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001076,0,0,0,0,0,0,0,0,1,0,0,0
A_70_P001081,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001086,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001091,0,0,0,0,0,0,1,0,1,0,1,0
A_70_P001096,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001101,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001106,0,1,0,0,1,0,0,0,1,0,1,0
A_70_P001111,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P001116,1,0,0,0,1,0,0,0,0,0,0,0
A_70_P001121,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001126,1,0,1,0,1,0,1,0,1,0,0,0
A_70_P001131,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001136,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001141,0,1,0,0,1,0,0,0,1,0,1,0
A_70_P001146,0,0,0,0,0,0,1,0,0,0,0,0
A_70_P001151,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001156,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001161,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001166,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001171,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001176,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001181,0,0,0,0,0,1,0,1,0,1,0,1
A_70_P001186,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001191,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001196,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001201,0,0,0,0,0,1,0,1,0,0,0,0
A_70_P001206,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001211,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001216,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P001221,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001226,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001231,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001236,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001241,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001246,0,1,0,0,0,1,0,0,0,0,0,0
A_70_P001251,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001256,0,1,0,0,0,0,0,1,0,0,0,1
A_70_P001261,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P001266,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001271,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001276,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001281,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001286,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001291,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001296,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001301,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001306,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001311,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001316,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001326,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001331,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001336,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001341,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001346,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001351,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001356,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001361,1,0,0,0,0,0,1,0,1,0,0,0
A_70_P001366,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001371,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001376,1,0,1,0,1,0,1,0,0,0,0,0
A_70_P001381,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001386,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001391,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001396,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001401,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001406,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001411,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001416,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001417,0,0,0,0,0,0,1,0,0,0,0,0
A_70_P001421,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001422,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001426,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001431,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P001432,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001436,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P001437,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001441,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001442,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001446,0,0,0,0,0,1,0,0,0,0,0,0
A_70_P001447,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001451,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001452,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001456,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001457,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001461,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001462,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001466,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001471,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001472,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001476,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001481,0,0,0,0,1,0,1,0,0,0,0,0
A_70_P001486,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001491,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001496,0,0,0,1,0,0,0,0,0,0,0,0
A_70_P001501,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001506,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001511,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001516,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001521,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001526,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001527,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P001531,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001536,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001541,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001546,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001551,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001556,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001561,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001566,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P001571,0,1,0,0,0,1,0,0,0,0,0,0
A_70_P001576,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001581,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001586,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001591,0,0,0,0,0,0,0,1,0,1,0,1
A_70_P001596,0,0,0,0,0,0,0,0,1,0,1,0
A_70_P001601,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001606,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001611,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001616,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001621,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001626,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001634,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001636,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001641,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001646,0,0,0,1,0,0,0,1,0,1,0,0
A_70_P001651,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001658,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001661,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001666,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P001671,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001676,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001681,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001686,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001691,0,1,0,1,0,0,0,0,0,0,0,0
A_70_P001696,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P001701,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001706,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001711,0,0,0,0,0,0,1,0,1,0,0,0
A_70_P001716,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001721,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P001727,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001731,0,0,0,0,0,0,1,0,1,0,0,0
A_70_P001736,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001741,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001746,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001751,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P001756,0,0,0,0,0,0,0,0,0,0,0,1
A_70_P001761,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001766,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001771,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001776,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001781,0,0,0,0,0,0,1,0,0,0,0,0
A_70_P001786,0,0,0,0,1,0,0,0,1,0,1,0
A_70_P001791,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001796,1,0,0,0,0,0,1,0,1,0,0,0
A_70_P001801,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P001806,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001811,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001816,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001821,0,0,0,0,0,0,0,0,1,0,1,0
A_70_P001826,0,0,0,0,0,0,0,0,0,0,0,1
A_70_P001831,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001836,0,1,0,1,0,0,0,0,0,0,0,0
A_70_P001841,0,1,0,0,0,0,0,1,0,0,0,0
A_70_P001842,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P001846,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001851,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001856,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P001861,1,0,0,0,1,0,1,0,0,0,0,0
A_70_P001866,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P001871,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001876,0,0,0,0,0,1,0,0,0,0,0,0
A_70_P001881,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001891,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001896,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001901,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001906,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001911,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P001916,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001921,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001926,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001931,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P001936,0,0,1,0,0,0,0,0,0,0,0,0
A_70_P001941,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001946,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001951,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001956,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001961,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P001966,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P001971,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001976,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001981,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001986,0,0,0,1,0,0,0,0,0,0,0,0
A_70_P001991,0,0,0,0,0,1,0,0,0,1,0,0
A_70_P001996,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002001,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002006,0,0,0,1,0,0,0,0,0,0,0,0
A_70_P002011,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002016,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P002021,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002026,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002031,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P002036,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002041,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P002046,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002051,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002056,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002061,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P002066,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002071,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P002076,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002081,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P002086,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002091,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002096,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P002101,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P002106,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P002111,0,0,0,0,0,0,0,0,0,0,0,0
